Name,Platform,Publisher,Developer,Total Sales,Critic_Score,User_Score,Year
Dead Rising 3,XOne,Microsoft Studios,Capcom,1570000,8.3,6.9,2013
Ryse: Son of Rome,XOne,Microsoft Studios,Crytek,1380000,6.8,6.2,2013
Fighter Within,XOne,Ubisoft,Daoka,190000,2.7,2.8,2013
FIFA 14,XOne,EA Sports,EA Canada,1160000,9.1,5.8,2013
FIFA 14,PS4,EA Sports,EA Canada,3430000,9.1,6.3,2013
Battlefield 4,PS4,Electronic Arts,EA DICE,3940000,8.3,7,2013
NBA Live 14,PS4,EA Sports,EA Tiburon,270000,4.3,2.6,2013
Madden NFL 25,PS4,EA Sports,EA Tiburon,960000,7.4,5.2,2013
NBA Live 14,XOne,EA Sports,EA Tiburon,200000,4.3,3.1,2013
Madden NFL 25,XOne,EA Sports,EA Tiburon,810000,7.1,5.8,2013
Killzone: Shadow Fall,PS4,Sony Computer Entertainment,Guerrilla Games,3020000,9,6.8,2013
Call of Duty: Ghosts,XOne,Activision,Infinity Ward,2920000,7.5,4.3,2013
Call of Duty: Ghosts,PS4,Activision,Infinity Ward,4170000,7.5,3.8,2013
Knack,PS4,Sony Computer Entertainment,SCE Japan Studio,1880000,8.4,6.5,2013
Putty Squad,PS4,System 3,System 3,160000,3.8,3,2013
Forza Motorsport 5,XOne,Microsoft Studios,Turn 10 Studios,2200000,8.8,6,2013
Assassin's Creed IV: Black Flag,PS4,Ubisoft,Ubisoft Montreal,3190000,8.3,7.9,2013
NBA 2K14,XOne,2K Sports,Visual Concepts,910000,8.9,5.7,2013
NBA 2K14,PS4,2K Sports,Visual Concepts,1540000,8.9,6.5,2013
Halo: The Master Chief Collection,XOne,Microsoft Studios,343 Industries,3230000,8.5,7.4,2014
Akiba's Trip: Undead & Undressed,PS4,Xseed Games,Acquire,130000,5.7,6.9,2014
Murdered: Soul Suspect,PS4,Square Enix,Airtight Games,330000,5.9,6.9,2014
Murdered: Soul Suspect,XOne,Square Enix,Airtight Games,160000,5.1,7.1,2014
Dragon Age: Inquisition,PS4,Electronic Arts,BioWare Edmonton,2340000,8.9,7.4,2014
Dragon Age: Inquisition,XOne,Electronic Arts,BioWare Edmonton,930000,8.5,7,2014
Diablo III: Ultimate Evil Edition,PS4,Blizzard Entertainment,Blizzard Entertainment,2820000,9,7.9,2014
Diablo III: Ultimate Evil Edition,XOne,Blizzard Entertainment,Blizzard Entertainment,,8.6,7.8,2014
Destiny,PS4,Activision,Bungie,5760000,7.6,6.1,2014
Destiny,XOne,Activision,Bungie,3370000,8.3,5.5,2014
Alien: Isolation,XOne,Sega,Creative Assembly,510000,7.8,7.9,2014
Alien: Isolation,PS4,Sega,Creative Assembly,1090000,7.9,8.2,2014
Tomb Raider: Definitive Edition,PS4,Square Enix,Crystal Dynamics,1510000,9.1,8.1,2014
Tomb Raider: Definitive Edition,XOne,Square Enix,Crystal Dynamics,,9.1,7.7,2014
Lara Croft and the Temple of Osiris,PS4,Square Enix,Crystal Dynamics,90000,7.4,6.6,2014
Tour de France 2014,PS4,Focus Home Interactive,Cyanide Studio,40000,5.3,5.3,2014
Lords of the Fallen,PS4,Namco Bandai Games,DECK13 Interactive,550000,6.8,6.5,2014
Lords of the Fallen,XOne,Namco Bandai Games,DECK13 Interactive,220000,7.1,6.6,2014
FIFA 15,XOne,EA Sports,EA Canada,2180000,7.9,5.4,2014
FIFA 15,PS4,EA Sports,EA Canada,6320000,8.1,5.7,2014
NHL 15,XOne,EA Sports,EA Canada,410000,5.9,3.1,2014
EA Sports UFC,PS4,Electronic Arts,EA Canada,1110000,7,6.1,2014
EA Sports UFC,XOne,Electronic Arts,EA Canada,470000,7,6.2,2014
NHL 15,PS4,EA Sports,EA Canada,620000,6,3.7,2014
Madden NFL 15,XOne,EA Sports,EA Tiburon,1570000,8,6.2,2014
Madden NFL 15,PS4,EA Sports,EA Tiburon,2250000,8.1,6.1,2014
NBA Live 15,XOne,Electronic Arts,EA Tiburon,210000,5.3,6.8,2014
NBA Live 15,PS4,Electronic Arts,EA Tiburon,250000,5.9,5.6,2014
Thief,XOne,Square Enix,Eidos Montreal,,6.9,5.9,2014
Thief,PS4,Square Enix,Eidos Montreal,850000,6.7,6.2,2014
Driveclub,PS4,Sony Computer Entertainment,Evolution Studios,2370000,7.2,6.2,2014
Sherlock Holmes: Crimes & Punishments,PS4,Focus Home Interactive,Frogwares,290000,7.3,7.2,2014
Sherlock Holmes: Crimes & Punishments,XOne,Focus Home Interactive,Frogwares,80000,7.2,6.7,2014
Fantasia: Music Evolved,XOne,Disney Interactive Studios,Harmonix Music Systems,150000,7.7,7.4,2014
Sunset Overdrive,XOne,Microsoft Studios,Insomniac Games,1140000,8,7.8,2014
Metal Gear Solid V: Ground Zeroes,PS4,Konami Digital Entertainment,Kojima Productions,1200000,7.6,6.3,2014
Metal Gear Solid V: Ground Zeroes,XOne,Konami Digital Entertainment,Kojima Productions,290000,7.7,5.5,2014
Wolfenstein: The New Order,XOne,Bethesda Softworks,MachineGames,680000,7.8,7.8,2014
Wolfenstein: The New Order,PS4,Bethesda Softworks,MachineGames,1610000,7.9,8.1,2014
MotoGP 14,PS4,Namco Bandai Games,Milestone S.r.l.,200000,7.3,6.5,2014
The Last of Us Remastered,PS4,Sony Computer Entertainment,Naughty Dog,6770000,9.5,9.1,2014
Samurai Warriors 4,PS4,Tecmo Koei,Omega Force,250000,7.6,7.6,2014
Pro Evolution Soccer 2015,XOne,Konami Digital Entertainment,PES Productions,140000,7.9,6.8,2014
Pro Evolution Soccer 2015,PS4,Konami Digital Entertainment,PES Productions,760000,8.2,7.1,2014
Forza Horizon 2,XOne,Microsoft Studios,Playground Games,1400000,8.6,8.3,2014
Plants vs Zombies: Garden Warfare,XOne,Electronic Arts,PopCap Games,,7.6,7.5,2014
Plants vs Zombies: Garden Warfare,PS4,Electronic Arts,PopCap Games,660000,7.5,7.5,2014
Teslagrad,PS4,Rain Games,Rain Games,10000,7.8,6.7,2014
Kinect Sports Rivals,XOne,Microsoft Studios,Rare Ltd.,600000,7.3,5,2014
Sniper Elite III,XOne,505 Games,Rebellion Developments,,6.3,6.6,2014
Sniper Elite III,PS4,505 Games,Rebellion Developments,740000,6.7,6.9,2014
Titanfall,XOne,Electronic Arts,Respawn Entertainment,2950000,8.9,6.7,2014
Grand Theft Auto V,PS4,Rockstar Games,Rockstar North,19390000,9.7,8.4,2014
Grand Theft Auto V,XOne,Rockstar Games,Rockstar North,5480000,9,9,2014
Call of Duty: Advanced Warfare,XOne,Activision,Sledgehammer Games,5270000,8.3,5.5,2014
Call of Duty: Advanced Warfare,PS4,Activision,Sledgehammer Games,7530000,8.5,5.7,2014
LittleBigPlanet 3,PS4,Sony Computer Entertainment,Sumo Digital,2060000,7.9,7.2,2014
The LEGO Movie Videogame,PS4,Warner Bros. Interactive Entertainment,TT Fusion,710000,6,7.1,2014
The LEGO Movie Videogame,XOne,Warner Bros. Interactive Entertainment,TT Fusion,530000,6.5,6.7,2014
The Evil Within,XOne,Bethesda Softworks,Tango Gameworks,670000,7.9,7.4,2014
The Evil Within,PS4,Bethesda Softworks,Tango Gameworks,1860000,7.7,7.5,2014
Project Spark,XOne,Microsoft Studios,Team Dakota,170000,7.3,6.9,2014
LEGO The Hobbit,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,270000,6.9,6.9,2014
LEGO The Hobbit,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,620000,7.2,6.6,2014
Rayman Legends,PS4,Ubisoft,Ubisoft Montpellier,1500000,9.5,8.4,2014
Far Cry 4,XOne,Ubisoft,Ubisoft Montreal,1630000,8.5,7.6,2014
Child of Light,PS4,Ubisoft,Ubisoft Montreal,50000,9.3,8,2014
Watch Dogs,PS4,Ubisoft,Ubisoft Montreal,4320000,8,6.4,2014
Watch Dogs,XOne,Ubisoft,Ubisoft Montreal,1570000,7.8,5.9,2014
Far Cry 4,PS4,Ubisoft,Ubisoft Montreal,4060000,8.4,7.7,2014
Just Dance 2015,PS4,Ubisoft,Ubisoft Paris,410000,7.2,5.7,2014
Just Dance 2015,XOne,Ubisoft,Ubisoft Paris,530000,8.1,7.4,2014
The Crew,PS4,Ubisoft,Ubisoft Reflections,1790000,6.1,5.3,2014
The Crew,XOne,Ubisoft,Ubisoft Reflections,640000,6.4,5.7,2014
Sleeping Dogs: Definitive Edition,XOne,Square Enix,United Front Games,,7.5,7.8,2014
Sleeping Dogs: Definitive Edition,PS4,Square Enix,United Front Games,440000,7.7,7.3,2014
Trials Fusion,PS4,Ubisoft,Unknown,430000,8.2,7.1,2014
WWE 2K15,XOne,2K Sports,Visual Concepts,570000,5.6,5.5,2014
NBA 2K15,PS4,2K Sports,Visual Concepts,2490000,8.3,6.9,2014
NBA 2K15,XOne,2K Sports,Visual Concepts,1720000,8.2,6.2,2014
WWE 2K15,PS4,2K Sports,Visual Concepts,1160000,6.2,5.2,2014
Halo 5: Guardians,XOne,Microsoft Studios,343 Industries,4480000,8.6,6.4,2015
BlazBlue: Chrono Phantasma Extend,PS4,Aksys Games,Arc System Works,160000,8,7.6,2015
Dishonored: Definitive Edition,XOne,Bethesda Softworks,Arkane Studios,,7.6,7.4,2015
Dishonored: Definitive Edition,PS4,Bethesda Softworks,Arkane Studios,420000,8,7.4,2015
Just Cause 3,XOne,Square Enix,Avalanche Studios,900000,7,6.9,2015
Just Cause 3,PS4,Square Enix,Avalanche Studios,1980000,7.5,6.4,2015
Fallout 4,XOne,Bethesda Softworks,Bethesda Game Studios,4220000,8.4,6.4,2015
Fallout 4,PS4,Bethesda Softworks,Bethesda Game Studios,8480000,8.6,6.6,2015
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Bluepoint Games,5700000,8.6,8.5,2015
Destiny: The Taken King,PS4,Activision,Bungie,2180000,8.6,6.2,2015
Destiny: The Taken King,XOne,Activision,Bungie,1190000,8.9,5.2,2015
The Witcher 3: Wild Hunt,XOne,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,1310000,9.1,9.2,2015
The Witcher 3: Wild Hunt,PS4,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,5390000,9.2,9.2,2015
Resident Evil: Revelations 2,XOne,Capcom,Capcom,100000,7.5,7.5,2015
Resident Evil: Revelations 2,PS4,Capcom,Capcom,570000,7.5,7.6,2015
Ultra Street Fighter IV,PS4,Sony Computer Entertainment,Capcom,100000,7.1,6.2,2015
Assassin's Creed Chronicles: China,PS4,Ubisoft,Climax Studios,40000,6.9,6,2015
F1 2015,XOne,Codemasters,Codemasters Birmingham,250000,6.4,6.1,2015
F1 2015,PS4,Codemasters,Codemasters Birmingham,680000,6.5,6.4,2015
Mighty No. 9,XOne,Eidos Interactive Ltd,Comcept,20000,5.5,4.1,2015
Omega Quintet,PS4,Compile Heart,Compile Heart,30000,5.8,7,2015
The Talos Principle,PS4,Nighthawk Interactive,Croteam,40000,8.8,8.2,2015
Rise of the Tomb Raider,XOne,Square Enix,Crystal Dynamics,1380000,8.6,8,2015
Mega Man Legacy Collection,XOne,Capcom,Digital Eclipse Software,,8,7,2015
Dragon Ball: Xenoverse,PS4,Namco Bandai Games,Dimps Corporation,1190000,6.9,7.7,2015
Dragon Ball: Xenoverse,XOne,Namco Bandai Games,Dimps Corporation,,6.7,7.3,2015
FIFA 16,XOne,EA Sports,EA Canada,3250000,8.5,4.4,2015
NHL 16,XOne,EA Sports,EA Canada,480000,8,6,2015
NHL 16,PS4,EA Sports,EA Canada,660000,7.8,5.4,2015
FIFA 16,PS4,EA Sports,EA Canada,8220000.0000000009,8.5,4.4,2015
Rory McIlroy PGA Tour,XOne,Electronic Arts,EA Tiburon,270000,6,4.2,2015
Madden NFL 16,PS4,EA Sports,EA Tiburon,3300000,8.2,5.9,2015
Madden NFL 16,XOne,EA Sports,EA Tiburon,2420000,8.4,6,2015
NBA Live 16,XOne,EA Sports,EA Tiburon,110000,6,5.6,2015
NBA Live 16,PS4,EA Sports,EA Tiburon,210000,5.9,6,2015
Rory McIlroy PGA Tour,PS4,Electronic Arts,EA Tiburon,550000,6.1,3.8,2015
Guitar Hero Live,XOne,Activision,FreeStyleGames,550000,8.1,5.1,2015
Guitar Hero Live,PS4,Activision,FreeStyleGames,1210000,8,6.2,2015
Dark Souls II: Scholar of the First Sin,PS4,Namco Bandai Games,From Software,690000,8.7,8,2015
Bloodborne,PS4,Sony Computer Entertainment,From Software,3110000,8.2,8.9,2015
Dark Souls II: Scholar of the First Sin,XOne,Namco Bandai Games,From Software,,8.9,7.7,2015
ScreamRide,XOne,Microsoft Studios,Frontier Developments,,7.1,4.8,2015
Grand Ages: Medieval,PS4,Kalypso Media,Gaming Minds Studios,90000,6.4,6.5,2015
Borderlands: The Handsome Collection,XOne,2K Games,Gearbox Software,430000,8,7.8,2015
Borderlands: The Handsome Collection,PS4,2K Games,Gearbox Software,1280000,8.2,7.9,2015
Darksiders II: Deathinitive Edition,XOne,Nordic Games,Gunfire Games,,7.5,7.1,2015
Darksiders II: Deathinitive Edition,PS4,Nordic Games,Gunfire Games,240000,7.5,7.4,2015
The Golf Club,XOne,Maximum Games,HB Studios,30000,6.4,5.3,2015
The Golf Club,PS4,Maximum Games,HB Studios,130000,6.6,6.4,2015
Tropico 5,PS4,Kalypso Media,Haemimont Games,380000,7.6,7.1,2015
Rock Band 4,XOne,Harmonix Music Systems,Harmonix Music Systems,470000,7.9,6.5,2015
Rock Band 4,PS4,Harmonix Music Systems,Harmonix Music Systems,570000,7.8,6.4,2015
Deadpool,PS4,Activision,High Moon Studios,470000,6,6,2015
The Crew: Wild Run,PS4,Ubisoft,Ivory Tower,140000,7.3,6.4,2015
The Book of Unwritten Tales 2,PS4,Nordic Games,KING Art Games,70000,6.3,6.5,2015
Nobunaga's Ambition: Sphere of Influence,PS4,Tecmo Koei,Koei,50000,8,7.5,2015
Metal Gear Solid V: The Phantom Pain,XOne,Konami Digital Entertainment,Kojima Productions,750000,9.5,7.4,2015
Metal Gear Solid V: The Phantom Pain,PS4,Konami Digital Entertainment,Kojima Productions,3040000,9.3,8.2,2015
Wolfenstein: The Old Blood,XOne,Bethesda Softworks,MachineGames,150000,8,7.9,2015
Wolfenstein: The Old Blood,PS4,Bethesda Softworks,MachineGames,480000,7.6,7.9,2015
Tearaway Unfolded,PS4,Sony Computer Entertainment,Media Molecule,240000,8.1,8,2015
God Eater 2: Rage Burst,PS4,Namco Bandai Games,Namco Bandai Games,120000,6.9,7.5,2015
Tales of Zestiria,PS4,Namco Bandai Games,Namco Bandai Games,450000,7.2,7.2,2015
Saint Seiya: Soldiers' Soul,PS4,Namco Bandai Games,Namco Bandai Games,300000,5.9,7.2,2015
Sword Art Online: Lost Song,PS4,Namco Bandai Games,Namco Bandai Games,360000,6.3,6.2,2015
Legend of Kay Anniversary,PS4,Nordic Games,Neon Studios,150000,6.2,5.9,2015
Mortal Kombat X,PS4,Warner Bros. Interactive Entertainment,NetherRealm Studios,3490000,8.3,7.8,2015
Mortal Kombat X,XOne,Warner Bros. Interactive Entertainment,NetherRealm Studios,1380000,8.6,7.5,2015
Disgaea 5: Alliance of Vengeance,PS4,NIS America,Nippon Ichi Software,350000,8,8.2,2015
Legend of Kay Anniversary,PS4,Nordic Games,Nordic Games,,6.2,5.9,2015
Bladestorm: Nightmare,PS4,Tecmo Koei,Omega Force,220000,5.8,6.2,2015
Samurai Warriors 4-II,PS4,Tecmo Koei,Omega Force,130000,7.3,6.9,2015
One Piece: Pirate Warriors 3,PS4,Tecmo Koei,Omega Force,520000,7.4,7.4,2015
Pro Evolution Soccer 2016,XOne,Konami Digital Entertainment,PES Productions,110000,8.5,6.1,2015
Pro Evolution Soccer 2016,PS4,Konami Digital Entertainment,PES Productions,820000,8.7,7.2,2015
Transformers: Devastation,XOne,Activision,PlatinumGames,140000,7.5,7.6,2015
Transformers: Devastation,PS4,Activision,PlatinumGames,240000,7.7,7.5,2015
MX vs. ATV Supercross Encore,PS4,Nordic Games,Rainbow Studios,60000,4.2,3.8,2015
Rare Replay,XOne,Microsoft Studios,Rare Ltd.,790000,8.4,8,2015
The Order: 1886,PS4,Sony Computer Entertainment,Ready at Dawn,1620000,6.2,6.6,2015
Zombie Army Trilogy,XOne,Rebellion Developments,Rebellion Developments,110000,6.2,6.9,2015
Zombie Army Trilogy,PS4,Rebellion Developments,Rebellion Developments,220000,6.2,6.8,2015
Trials Fusion,XOne,Ubisoft,RedLynx,240000,8.2,7.1,2015
Broken Sword 5: The Serpent's Curse,XOne,Revolution Software,Revolution Software,20000,7.7,7,2015
Tony Hawk's Pro Skater 5,PS4,Activision,Robomodo,230000,3.2,1.4,2015
Tony Hawk's Pro Skater 5,XOne,Activision,Robomodo,120000,3.9,2.1,2015
Batman: Arkham Knight,PS4,Warner Bros. Interactive,Rocksteady Studios,4110000.0000000009,8.1,7.8,2015
Batman: Arkham Knight,XOne,Warner Bros. Interactive Entertainment,Rocksteady Studios,1490000,8.5,6.8,2015
MLB 15: The Show,PS4,Sony Computer Entertainment,SCE San Diego Studio,,8,7.7,2015
God of War III Remastered,PS4,Sony Computer Entertainment Europe,SCEA Santa Monica Studio,,8.1,8,2015
God of War III Remastered,PS4,Sony Computer Entertainment,SCEA Santa Monica Studio,890000,8.1,8,2015
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,190000,6.4,7.4,2015
Earth Defense Force 4.1: The Shadow of New Despair,PS4,Xseed Games,Sandlot,190000,6.4,7.4,2015
Toy Soldiers: War Chest,PS4,Ubisoft,Signal Studios,90000,6.2,7.2,2015
Toy Soldiers: War Chest,XOne,Ubisoft,Signal Studios,60000,6,8.3,2015
Project CARS,PS4,Bandai Namco Games,Slightly Mad Studios,1280000,8.3,6.6,2015
Project CARS,XOne,Bandai Namco Games,Slightly Mad Studios,260000,8.1,5.8,2015
Final Fantasy XIV: Heavensward,PS4,Square Enix,Square Enix,170000,8.6,8.3,2015
Final Fantasy Type-0 HD,PS4,Square Enix,Square Enix,1040000,7.2,7.5,2015
Final Fantasy X / X-2 HD Remaster,PS4,Square Enix,Square Enix,900000,8.4,8.7,2015
Final Fantasy Type-0 HD,XOne,Square Enix,Square Enix,,7.2,8.3,2015
Brothers: A Tale of Two Sons,PS4,505 Games,Starbreeze Studios,150000,8.1,7.9,2015
Until Dawn,PS4,Sony Computer Entertainment,Supermassive Games Ltd.,1900000,7.9,8.3,2015
Onechanbara Z2: Chaos,PS4,NIS America,Tamsoft,280000,5.7,6.8,2015
Dying Light,PS4,Warner Bros. Interactive,Techland,2450000,7.4,7.9,2015
Game of Thrones: A Telltale Games Series,PS4,Telltale Games,Telltale Games,60000,6.9,6.5,2015
Gears of War: Ultimate Edition,XOne,Microsoft Studios,The Coalition,3280000,8.2,7.6,2015
Axiom Verge,PS4,Thomas Happ Games,Thomas Happ Games,40000,8.4,7.8,2015
LEGO Dimensions,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,410000,8,7,2015
LEGO Jurassic World,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1180000,7,7.1,2015
LEGO Jurassic World,XOne,Warner Bros. Interactive Entertainment,Traveller's Tales,650000,7,6.6,2015
LEGO Dimensions,PS4,Warner Bros. Interactive Entertainment,Traveller's Tales,1180000,8,7.2,2015
Call of Duty: Black Ops 3,PS4,Activision,Treyarch,15090000,8.1,4.9,2015
Forza Motorsport 6,XOne,Microsoft Studios,Turn 10 Studios,1800000,8.7,7.7,2015
Evolve,XOne,2K Games,Turtle Rock Studios,640000,7.4,5.1,2015
Evolve,PS4,2K Games,Turtle Rock Studios,1010000,7.6,4.3,2015
Zombi,PS4,Ubisoft,Ubisoft Montpellier,70000,7.5,5.8,2015
Just Dance 2016,XOne,Ubisoft,Ubisoft Paris,320000,6.6,6.1,2015
Just Dance 2016,PS4,Ubisoft,Ubisoft Paris,390000,7.3,5.8,2015
Assassin's Creed Syndicate,XOne,Ubisoft,Ubisoft Quebec,1300000,7.8,6.3,2015
Assassin's Creed Syndicate,PS4,Ubisoft,Ubisoft Quebec,3600000,8.6,6.9,2015
State of Decay: Year One Survival Edition,XOne,Microsoft Studios,Undead Labs,,7.2,6.8,2015
NBA 2K16,XOne,2K Sports,Visual Concepts,2340000,8.3,6.1,2015
NBA 2K16,PS4,2K Sports,Visual Concepts,3980000,8.7,6.7,2015
Saints Row IV: Re-Elected,XOne,Deep Silver,Volition Inc.,,7.3,7.4,2015
Saints Row IV: Re-Elected,PS4,Deep Silver,Volition Inc.,420000,7.5,7.3,2015
Shovel Knight,XOne,Yacht Club Games,Yacht Club Games,,8.6,7.7,2015
Shovel Knight,PS4,Yacht Club Games,Yacht Club Games,140000,9,7.7,2015
WWE 2K16,XOne,Take-Two Interactive,Yuke's,590000,7.2,5.4,2015
WWE 2K16,PS4,Take-Two Interactive,Yuke's,1290000,7.3,7.2,2015
The Elder Scrolls Online: Tamriel Unlimited,PS4,Bethesda Softworks,ZeniMax Online Studios,2050000,7.4,7.7,2015
The Elder Scrolls Online: Tamriel Unlimited,XOne,Bethesda Softworks,ZeniMax Online Studios,,7.7,8.3,2015
Psycho-Pass: Mandatory Happiness,PS4,NIS America,5pb. Inc.,150000,7.2,6.7,2016
Steins;Gate 0,PS4,PQube,5pb. Inc.,70000,8.1,7.9,2016
Aegis of Earth: Protonovus Assault,PS4,Aksys Games,Acquire,40000,5.7,6.4,2016
Sword Art Online: Hollow Realization,PS4,Namco Bandai Games,Aquria,410000,6.9,7.5,2016
BlazBlue: Central Fiction,PS4,Aksys Games,Arc System Works,170000,8.4,7.7,2016
Dishonored 2,PS4,Bethesda Softworks,Arkane Studios,1970000,8.8,7.9,2016
Dishonored 2,XOne,Bethesda Softworks,Arkane Studios,220000,8.8,7.2,2016
ReCore,XOne,Microsoft Studios,Armature Studio,150000,6.3,6.7,2016
Agatha Christie's The ABC Murders,XOne,Unfinished Pixel,Artefacts Studio,10000,6.6,6.7,2016
Agatha Christie's The ABC Murders,PS4,Unfinished Pixel,Artefacts Studio,80000,6.7,6.1,2016
The Elder Scrolls V: Skyrim Special Edition,XOne,Bethesda Softworks,Bethesda Softworks,,8.1,7.4,2016
The Elder Scrolls V: Skyrim Special Edition,PS4,Bethesda Softworks,Bethesda Softworks,3360000,8.3,7.1,2016
Sherlock Holmes: The Devil's Daughter,PS4,Bigben Interactive,Bigben Interactive,60000,7.1,7.1,2016
Sherlock Holmes: The Devil's Daughter,XOne,Bigben Interactive,Bigben Interactive,,6.6,7.1,2016
BioShock: The Collection,XOne,2K Games,"Blind Squirrel Digital, Inc",,8.4,8.7,2016
BioShock: The Collection,PS4,2K Games,"Blind Squirrel Digital, Inc",860000,8.4,8.4,2016
Overwatch,PS4,Blizzard Entertainment,Blizzard Entertainment,4540000,8.8,6.4,2016
Overwatch,XOne,Blizzard Entertainment,Blizzard Entertainment,1060000,8.7,5.9,2016
Gravity Rush Remastered,PS4,Sony Computer Entertainment,Bluepoint Games,180000,7.9,8.1,2016
Gravity Rush Remastered,PS4,Sony Computer Entertainment Europe,Bluepoint Games,,8,8.1,2016
EVE: Valkyrie,PS4,Sony Interactive Entertainment,CCP,210000,7.1,6.8,2016
Touhou Genso Rondo: Bullet Ballet,PS4,NIS America,CUBETYPE,70000,5.5,5.3,2016
Street Fighter V,PS4,Capcom,Capcom,1390000,7.7,3.6,2016
Resident Evil 5,XOne,Capcom,Capcom,,7.5,7.3,2016
Resident Evil 6,XOne,Capcom,Capcom,50000,6.3,6.4,2016
Resident Evil 5,PS4,Capcom,Capcom,70000,6.9,7.4,2016
Resident Evil 4,PS4,Capcom,Capcom,100000,8.2,8.2,2016
Resident Evil 6,PS4,Capcom,Capcom,170000,6,6.6,2016
Dead Rising 4,XOne,Microsoft Studios,Capcom,,7.2,4.7,2016
Resident Evil 4,XOne,Capcom,Capcom,,7.6,8,2016
DiRT Rally,XOne,Codemasters,Codemasters,120000,8.6,8.1,2016
DiRT Rally,PS4,Codemasters,Codemasters,510000,8.5,7.9,2016
F1 2016,XOne,Codemasters,Codemasters,,8.5,7.8,2016
Mighty No. 9,PS4,Deep Silver,Comcept,110000,5.2,3.5,2016
Megadimension Neptunia VII,PS4,Idea Factory International,Compile Heart,40000,7.1,7,2016
Fairy Fencer F: Advent Dark Force,PS4,Idea Factory International,Compile Heart,140000,7.1,6.8,2016
Robinson: The Journey,PS4,Sony Interactive Entertainment,Crytek,270000,6.4,6.7,2016
Naruto Shippuden: Ultimate Ninja Storm 4,PS4,Namco Bandai Games,CyberConnect2,1540000,7.9,8,2016
Naruto Shippuden: Ultimate Ninja Storm 4,XOne,Namco Bandai Games,CyberConnect2,300000,8,8.4,2016
Life is Strange,PS4,Square Enix,DONTNOD Entertainment,370000,8.5,8.6,2016
Homefront: The Revolution,PS4,Deep Silver,Dambuster Studios,500000,4.8,4,2016
Homefront: The Revolution,XOne,Deep Silver,Dambuster Studios,140000,4.9,4.5,2016
